site_name_norm,imps,clicks,actions,spend,ctr,atr,cpc,cpa,vendor_impression_count,vendor_viewability_score
lycos.com,996,0,7,4.625,0.0000000000,0.0070281124,0,0.661,568,16.55
youbeauty.com,990,0,4,4.866,0.0000000000,0.0040404040,0,1.217,900,18.22
wftv.com,99,0,4,0.796,0.0000000000,0.0404040404,0,0.199,83,45.78
grist.org,99,0,2,0.485,0.0000000000,0.0202020202,0,0.243,85,42.35
ad.burstdirectads.com,99,0,1,0.373,0.0000000000,0.0101010101,0,0.373,93,10.75
130490.appnexus,99,0,0,0.946,0.0000000000,0.0000000000,0,0,51,35.29
bossip.com,987,0,5,3.489,0.0000000000,0.0050658561,0,0.698,869,8.29
chicagotribune.com,986,0,24,3.648,0.0000000000,0.0243407708,0,0.152,881,16.23
ohiostate.247sports.com,98,0,1,0.593,0.0000000000,0.0102040816,0,0.593,79,40.51
wlky.com,98,0,1,0.205,0.0000000000,0.0102040816,0,0.205,90,6.67
answers.yahoo.com,98,0,0,0.255,0.0000000000,0.0000000000,0,0,105,26.67
kstp.com,970,2,5,2.853,0.0020618557,0.0051546392,1.427,0.571,806,15.38
232077-124311-bizo.com,97,0,3,0.887,0.0000000000,0.0309278351,0,0.296,100,18.0
newsnow.co.uk,97,0,0,0.650,0.0000000000,0.0000000000,0,0,91,26.37
ad.turn.com,97,0,0,0.029,0.0000000000,0.0000000000,0,0,114,14.04
integrate.com,966,0,3,0.709,0.0000000000,0.0031055901,0,0.236,816,8.7
philadelphia.cbslocal.com,96,0,2,0.613,0.0000000000,0.0208333333,0,0.307,80,10.0
tv.com,96,0,2,0.454,0.0000000000,0.0208333333,0,0.227,111,36.94
kttc.com,96,0,1,0.620,0.0000000000,0.0104166667,0,0.620,47,25.53
teamliquid.net,96,0,0,0.598,0.0000000000,0.0000000000,0,0,92,34.78
live.nydailynews.com,96,0,0,0.471,0.0000000000,0.0000000000,0,0,85,17.65
nowpublic.com,96,0,0,0.231,0.0000000000,0.0000000000,0,0,92,25.0
news4jax.com,95,0,4,0.950,0.0000000000,0.0421052632,0,0.238,82,18.29
fashionablygeek.com,95,0,1,0.588,0.0000000000,0.0105263158,0,0.588,69,21.74
pubads.g.doubleclick.net,95,0,1,0.305,0.0000000000,0.0105263158,0,0.305,713,41.8
wrcbtv.com,95,0,0,0.647,0.0000000000,0.0000000000,0,0,76,32.89
zlive.hidden.zynga.com,95,0,0,0.340,0.0000000000,0.0000000000,0,0,90,1.11
rmgshopping1.microsoftadvertisingexchange.com,945,0,6,1.220,0.0000000000,0.0063492063,0,0.203,799,10.14
dictionary.reference.com,942,1,16,2.431,0.0010615711,0.0169851380,2.431,0.152,847,20.78
rantsports.com,942,0,9,4.665,0.0000000000,0.0095541401,0,0.518,767,11.47
o.o-clk.com,942,0,6,2.151,0.0000000000,0.0063694268,0,0.359,1188,14.06
cdna.1sadx.net,94,1,0,1.007,0.0106382979,0.0000000000,1.007,0,92,3.26
gamesgames.com,94,0,3,0.287,0.0000000000,0.0319148936,0,0.096,72,11.11
insidelacrosse.com,94,0,0,0.332,0.0000000000,0.0000000000,0,0,85,34.12
tv.msnbc.com,93,0,4,0.732,0.0000000000,0.0430107527,0,0.183,87,70.11
kpoplyrics.net,93,0,3,0.519,0.0000000000,0.0322580645,0,0.173,74,6.76
realbeauty.com,93,0,1,0.510,0.0000000000,0.0107526882,0,0.510,54,24.07
gizmag.com,93,0,0,0.911,0.0000000000,0.0000000000,0,0,90,14.44
kwwl.com,93,0,0,0.605,0.0000000000,0.0000000000,0,0,78,12.82
nebraska.247sports.com,93,0,0,0.539,0.0000000000,0.0000000000,0,0,55,16.36
toledonewsnow.com,93,0,0,0.495,0.0000000000,0.0000000000,0,0,77,35.06
pinterest.com,93,0,0,0.226,0.0000000000,0.0000000000,0,0,74,12.16
independent.ie,93,0,0,0.197,0.0000000000,0.0000000000,0,0,88,61.36
blacksportsonline.com,92,0,1,0.483,0.0000000000,0.0108695652,0,0.483,66,21.21
gamemazing.com,92,0,0,0.360,0.0000000000,0.0000000000,0,0,38,44.74
wwf-fb.zyngawithfriends.com,9100,4,35,32.841,0.0004395604,0.0038461538,8.210,0.938,9891,16.1
wndu.com,91,0,3,0.646,0.0000000000,0.0329670330,0,0.215,79,24.05
new40114.undertonebrandsafe.com,91,0,1,0.247,0.0000000000,0.0109890110,0,0.247,83,10.84
148763.appnexus,91,0,0,0.036,0.0000000000,0.0000000000,0,0,79,12.66
